WP,D,code,lat,lon,date,time,city_caps
WP,D,BLD,40.05839539,-105.2811813,00/00/00,0:00:00,BOULDER
WP,D,BYC,45.20484161,-85.02664948,00/00/00,0:00:00,BOYNE CITY
WP,D,BYF,45.16839981,-84.91621399,00/00/00,0:00:00,BOYNE FALLS
WP,D,BDT,27.4903965,-82.47067261,00/00/00,0:00:00,BRADENTON
WP,D,BRT,43.6910553,-79.76232147,00/00/00,0:00:00,BRAMPTON
WP,D,BDN,43.79917526,-73.0892334,00/00/00,0:00:00,BRANDON
WP,D,BSN,36.64439011,-93.22720337,00/00/00,0:00:00,BRANSON
WP,D,BTF,43.14572906,-80.26235962,00/00/00,0:00:00,BRANTFORD
WP,D,BRA,42.83869553,-72.550354,00/00/00,0:00:00,BRATTLEBORO
WP,D,BTA,31.10486412,-87.07004547,00/00/00,0:00:00,BREWTON
WP,D,BRP,41.17674637,-73.18740082,00/00/00,0:00:00,BRIDGEPORT
WP,D,BRH,31.57875824,-90.44212341,00/00/00,0:00:00,BROOKHAVEN
WP,D,BRO,48.53329468,-113.0108414,00/00/00,0:00:00,BROWNING
WP,D,BSV,25.89988518,-97.49945068,00/00/00,0:00:00,BROWNSVILLE
WP,D,BYN,41.48034668,-84.55274963,00/00/00,0:00:00,BRYAN
WP,D,BLY,44.50439835,-85.67663574,00/00/00,0:00:00,BUCKLEY
WP,D,BUL,34.61133957,-120.1933823,00/00/00,0:00:00,BUELLTON
WP,D,BUF,42.90691757,-78.72660828,00/00/00,0:00:00,BUFFALO-DEPEW
WP,D,BFX,42.87848282,-78.87506104,00/00/00,0:00:00,BUFFALO-EXCHANGE STREET
WP,D,BUR,34.1938324,-118.3559113,00/00/00,0:00:00,BURBANK AIRPORT
WP,D,BTV,44.47605515,-73.21479797,00/00/00,0:00:00,BURLINGTON
WP,D,BRL,40.80594254,-91.10198212,00/00/00,0:00:00,BURLINGTON
WP,D,BNC,36.09417725,-79.43628693,00/00/00,0:00:00,BURLINGTON
WP,D,ESX,44.49257278,-73.11045074,00/00/00,0:00:00,BURLINGTON-ESSEX JUNCTION
WP,D,BNS,43.5904007,-119.0533905,00/00/00,0:00:00,BURNS
WP,D,BUZ,41.74529648,-70.61753082,00/00/00,0:00:00,BUZZARDS BAY
WP,D,BWI,39.18955231,-76.69339752,00/00/00,0:00:00,BWI AIRPORT RAIL STATION
WP,D,CLC,44.26839447,-85.4066925,00/00/00,0:00:00,CADILLAC
WP,D,CIE,37.61219406,-114.5156479,00/00/00,0:00:00,CALIENTE
WP,D,CGA,38.57986832,-122.5778122,00/00/00,0:00:00,CALISTOGA
WP,D,CML,34.21646881,-119.0331116,00/00/00,0:00:00,CAMARILLO
WP,D,CAM,34.24734879,-80.62615967,00/00/00,0:00:00,CAMDEN
WP,D,CPC,38.6606636,-120.9681625,00/00/00,0:00:00,CAMERON PARK
WP,D,CVD,34.6257782,-111.8806381,00/00/00,0:00:00,CAMP VERDE
WP,D,CTN,32.61481094,-90.04051971,00/00/00,0:00:00,CANTON
WP,D,CDL,37.72408676,-89.21636963,00/00/00,0:00:00,CARBONDALE
WP,D,CRV,39.27932739,-89.88891602,00/00/00,0:00:00,CARLINVILLE
WP,D,CRM,36.53931808,-121.9080429,00/00/00,0:00:00,CARMEL
WP,D,CPN,34.39600372,-119.5213165,00/00/00,0:00:00,CARPINTERIA
WP,D,CCN,39.16664886,-119.7657776,00/00/00,0:00:00,CARSON CITY
WP,D,CYN,35.78770828,-78.77967834,00/00/00,0:00:00,CARY
WP,D,CAT,38.43809891,-82.60844421,00/00/00,0:00:00,CATTLETSBURG
WP,D,CEN,38.527771,-89.13619232,00/00/00,0:00:00,CENTRALIA
WP,D,CTL,46.71742249,-122.9518814,00/00/00,0:00:00,CENTRALIA
WP,D,CHM,40.11619568,-88.24092865,00/00/00,0:00:00,CHAMPAIGN-URBANA
WP,D,CHS,32.87553406,-79.99890137,00/00/00,0:00:00,CHARLESTON
WP,D,CHW,38.35198975,-81.64672089,00/00/00,0:00:00,CHARLESTON
WP,D,CLT,35.24114609,-80.82363892,00/00/00,0:00:00,CHARLOTTE
WP,D,CVS,38.03203201,-78.49211121,00/00/00,0:00:00,CHARLOTTSVILLE
WP,D,CTH,42.40237045,-82.18504333,00/00/00,0:00:00,CHATHAM
WP,D,CWT,34.25711823,-118.598732,00/00/00,0:00:00,CHATSWORTH
WP,D,CNO,35.0307045,-85.19438934,00/00/00,0:00:00,CHATTANOOGA
WP,D,CMO,43.21690369,-121.7806625,00/00/00,0:00:00,CHEMULT
WP,D,CRH,39.9274826,-75.04243469,00/00/00,0:00:00,CHERRY HILL
WP,D,CHY,41.12158203,-104.8051834,00/00/00,0:00:00,CHEYENNE
WP,D,BOR,41.09111023,-104.9869003,00/00/00,0:00:00,CHEYENNE(BORIE)
WP,D,CHI,41.87873077,-87.63916779,00/00/00,0:00:00,CHICAGO
WP,D,CIC,39.72330856,-121.8447189,00/00/00,0:00:00,CHICO
WP,D,CIA,40.92995453,-89.49421692,00/00/00,0:00:00,CHILLICOTHE
WP,D,CIP,30.78072739,-85.53761292,00/00/00,0:00:00,CHIPLEY
WP,D,CIN,39.10237885,-84.53652954,00/00/00,0:00:00,CINCINNATI
WP,D,CLM,34.0945282,-117.7155075,00/00/00,0:00:00,CLAREMONT
WP,D,CLA,43.36878586,-72.37930298,00/00/00,0:00:00,CLAREMONT
WP,D,CLW,27.97551537,-82.73092651,00/00/00,0:00:00,CLEARWATER
WP,D,CWB,27.97724724,-82.82778168,00/00/00,0:00:00,CLEARWATER BEACH
WP,D,CBR,32.34833527,-97.38166046,00/00/00,0:00:00,CLEBURNE
WP,D,CSN,34.69117737,-82.83348083,00/00/00,0:00:00,CLEMSON
WP,D,CLE,41.50441742,-81.69817352,00/00/00,0:00:00,CLEVELAND
WP,D,CLF,37.81177139,-79.83649445,00/00/00,0:00:00,CLIFTON FORGE
WP,D,CTV,44.62212753,-88.76015472,00/00/00,0:00:00,CLINTONVILLE
WP,D,CLV,38.79989624,-123.0120773,00/00/00,0:00:00,CLOVERDALE
WP,D,COT,39.98561859,-75.82066345,00/00/00,0:00:00,COATESVILLE
WP,D,COX,39.09945679,-120.9527054,00/00/00,0:00:00,COLFAX
WP,D,CFX,46.87592697,-117.3636551,00/00/00,0:00:00,COLFAX
WP,D,CLL,30.60033607,-96.33712769,00/00/00,0:00:00,COLLEGE STATION - BRYAN
WP,D,COS,38.83192444,-104.8191986,00/00/00,0:00:00,COLORADO SPRINGS
WP,D,CLB,33.99371719,-81.04057312,00/00/00,0:00:00,COLUMBIA
WP,D,COG,32.46133423,-84.98742676,00/00/00,0:00:00,COLUMBUS
WP,D,COL,39.95907974,-82.99669647,00/00/00,0:00:00,COLUMBUS
WP,D,CBS,43.34066772,-89.01248169,00/00/00,0:00:00,COLUMBUS
WP,D,COM,33.99090576,-118.1437378,00/00/00,0:00:00,COMMERCE
WP,D,COV,40.01810074,-79.59259796,00/00/00,0:00:00,CONNELLSVILLE
WP,D,COI,39.6464653,-85.13356018,00/00/00,0:00:00,CONNERSVILLE
WP,D,CWY,33.83512497,-79.04673004,00/00/00,0:00:00,CONWAY
WP,D,COO,32.97784424,-111.5155182,00/00/00,0:00:00,COOLIDGE
WP,D,CBY,43.36664581,-124.2119904,00/00/00,0:00:00,COOS BAY
WP,D,COC,36.09819412,-119.5565033,00/00/00,0:00:00,CORCORAN
WP,D,CNG,39.92847824,-122.1969299,00/00/00,0:00:00,CORNING
WP,D,CWH,40.07189178,-74.95080566,00/00/00,0:00:00,CORNWELLS HEIGHTS
WP,D,CNA,32.09160614,-96.46195984,00/00/00,0:00:00,CORSICANA
WP,D,CVI,44.56523895,-123.2605972,00/00/00,0:00:00,CORVALLIS
WP,D,CTG,43.80474091,-123.0563965,00/00/00,0:00:00,COTTAGE GROVE
WP,D,CRF,40.0442543,-86.89938354,00/00/00,0:00:00,CRAWFORDSVILLE
WP,D,CRN,41.05708313,-94.36119843,00/00/00,0:00:00,CRESTON
WP,D,CSV,30.75758743,-86.56903076,00/00/00,0:00:00,CRESTVIEW
WP,D,CRT,41.19272995,-73.88384247,00/00/00,0:00:00,CROTON-HARMON
WP,D,CLP,38.47292328,-77.99304199,00/00/00,0:00:00,CULPEPER
WP,D,CUM,39.65058517,-78.75847626,00/00/00,0:00:00,CUMBERLAND
WP,D,CUT,48.63694,-112.3300247,00/00/00,0:00:00,CUT BANK
WP,D,DDE,28.36418915,-82.18482208,00/00/00,0:00:00,DADE CITY
WP,D,DAL,32.77554321,-96.80740356,00/00/00,0:00:00,DALLAS
WP,D,DVI,40.11942673,-87.63611603,00/00/00,0:00:00,DANVILLE
WP,D,DAN,36.58369827,-79.38431549,00/00/00,0:00:00,DANVILLE
WP,D,DVP,41.51973724,-90.5774231,00/00/00,0:00:00,DAVENPORT
WP,D,DAV,38.54411316,-121.7370682,00/00/00,0:00:00,DAVIS
WP,D,DYA,29.22823143,-81.00911713,00/00/00,0:00:00,DAYTONA BEACH
WP,D,DER,42.31304932,-83.2011795,00/00/00,0:00:00,DEARBORN
WP,D,DFB,26.3177948,-80.12145996,00/00/00,0:00:00,DEERFIELD BEACH
WP,D,DEL,32.95942688,-117.2667007,00/00/00,0:00:00,DEL MAR
WP,D,DRT,29.36308098,-100.9014664,00/00/00,0:00:00,DEL RIO
WP,D,DLD,29.01683426,-81.35245514,00/00/00,0:00:00,DELAND
WP,D,DLB,26.45517921,-80.0925293,00/00/00,0:00:00,DELRAY BEACH
WP,D,DEM,32.27108383,-107.7608337,00/00/00,0:00:00,DEMING
WP,D,DNK,33.32614517,-81.14315033,00/00/00,0:00:00,DENMARK
WP,D,DEN,39.75322342,-104.9996109,00/00/00,0:00:00,DENVER
WP,D,DIA,39.85834122,-104.6669159,00/00/00,0:00:00,DENVER INTERNATIONAL AP'T
WP,D,DET,42.36788177,-83.07209778,00/00/00,0:00:00,DETROIT
WP,D,DLK,46.81948853,-95.84558105,00/00/00,0:00:00,DETROIT LAKES
WP,D,DVL,48.11064529,-98.8613739,00/00/00,0:00:00,DEVILS LAKE
WP,D,DIL,34.41828537,-79.37175751,00/00/00,0:00:00,DILLON
WP,D,DSY,33.81058884,-117.9228821,00/00/00,0:00:00,DISNEYLAND
WP,D,DDG,37.75259781,-100.0165787,00/00/00,0:00:00,DODGE CITY
WP,D,DOA,41.98120117,-86.10873413,00/00/00,0:00:00,DOWAGIAC
WP,D,DOW,40.00253677,-75.70812225,00/00/00,0:00:00,DOWNINGTOWN
WP,D,DQN,38.01135254,-89.24015808,00/00/00,0:00:00,DU QUOIN
WP,D,IAD,38.95161819,-77.44791412,00/00/00,0:00:00,DULLES INTERNATIONAL AP'T
WP,D,DUL,46.76660156,-92.12400818,00/00/00,0:00:00,DULUTH
WP,D,DUK,42.48533249,-79.33101654,00/00/00,0:00:00,DUNKIRK
WP,D,DUN,41.21117401,-122.2699738,00/00/00,0:00:00,DUNSMUIR
WP,D,DRD,42.90977859,-83.98243713,00/00/00,0:00:00,DURAND
WP,D,DUR,33.07375336,-89.85348511,00/00/00,0:00:00,DURANT
WP,D,DNC,35.99703598,-78.90722656,00/00/00,0:00:00,DURHAM
WP,D,DWT,41.09204865,-88.42832184,00/00/00,0:00:00,DWIGHT
WP,D,DYE,41.49852753,-87.51818848,00/00/00,0:00:00,DYER
WP,D,EGL,39.65070724,-106.8330536,00/00/00,0:00:00,EAGLE
WP,D,EDP,37.69921875,-121.8935013,00/00/00,0:00:00,EAST DUBLIN-PLEASANTON
WP,D,GPK,48.44396591,-113.2185593,00/00/00,0:00:00,EAST GLACIER PARK
WP,D,LNS,42.71908188,-84.49354553,00/00/00,0:00:00,EAST LANSING
WP,D,EUC,44.81437683,-91.49999237,00/00/00,0:00:00,EAU CLARE
WP,D,EDM,47.81129456,-122.3830719,00/00/00,0:00:00,EDMONDS
WP,D,EFG,39.11915588,-88.54571533,00/00/00,0:00:00,EFFINGHAM
WP,D,EMC,34.0725975,-118.0424957,00/00/00,0:00:00,EL MONTE
WP,D,ELP,31.75772476,-106.4948883,00/00/00,0:00:00,EL PASO
WP,D,EPL,37.67854309,-119.7528915,00/00/00,0:00:00,EL PORTAL
WP,D,ELT,40.1473999,-76.61457825,00/00/00,0:00:00,ELIZABETHTOWN
WP,D,EKH,41.68072128,-85.97105408,00/00/00,0:00:00,ELKHART
WP,D,ELK,40.83687592,-115.7533951,00/00/00,0:00:00,ELKO
WP,D,EBG,46.99957657,-120.5527573,00/00/00,0:00:00,ELLENSBURG
WP,D,ELY,41.37005234,-82.09700775,00/00/00,0:00:00,ELYRIA
WP,D,EMY,37.84067917,-122.2906799,00/00/00,0:00:00,EMERYVILLE
WP,D,EMP,38.40185165,-96.18553925,00/00/00,0:00:00,EMPORIA
WP,D,EPH,47.32059479,-119.548645,00/00/00,0:00:00,EPHRATA
WP,D,ERI,42.12112808,-80.08103943,00/00/00,0:00:00,ERIE
WP,D,EMI,45.7803688,-87.08735657,00/00/00,0:00:00,ESCANABA
WP,D,ESM,48.2808609,-113.6094818,00/00/00,0:00:00,ESSEX
WP,D,EUG,44.05538559,-123.0918427,00/00/00,0:00:00,EUGENE-SPRINGFIELD
WP,D,EKA,40.80301666,-124.1582031,00/00/00,0:00:00,EUREKA
WP,D,EVT,41.26921463,-110.9642944,00/00/00,0:00:00,EVANSTON
WP,D,EVR,47.97928238,-122.2156219,00/00/00,0:00:00,EVERETT
WP,D,EVE,31.43252182,-86.95611572,00/00/00,0:00:00,EVERGREEN
WP,D,EXT,40.01995087,-75.62329865,00/00/00,0:00:00,EXTON
WP,D,FHV,43.59057617,-73.26204681,00/00/00,0:00:00,FAIR HAVEN
WP,D,FAR,46.88107681,-96.78461456,00/00/00,0:00:00,FARGO
WP,D,FMC,40.24155426,-88.64270782,00/00/00,0:00:00,FARMER CITY
WP,D,FAY,35.05490494,-78.88506317,00/00/00,0:00:00,FAYETTEVILLE
WP,D,FIL,34.39612961,-118.9166107,00/00/00,0:00:00,FILLMORE
WP,D,FSH,37.47462845,-119.6371918,00/00/00,0:00:00,FISH CAMP
WP,D,FLG,35.19801331,-111.6506653,00/00/00,0:00:00,FLAGSTAFF
WP,D,FLN,43.01363373,-83.65483856,00/00/00,0:00:00,FLINT
WP,D,FRO,44.01136017,-124.1003494,00/00/00,0:00:00,FLORENCE
WP,D,FLO,34.19881821,-79.75709534,00/00/00,0:00:00,FLORENCE
WP,D,FLC,43.75553131,-88.45079041,00/00/00,0:00:00,FOND DU LAC
WP,D,FDL,43.7525177,-88.45018768,00/00/00,0:00:00,FONT DU LAC
WP,D,FCC,40.5837822,-105.065918,00/00/00,0:00:00,FORT COLLINS
WP,D,FED,43.26951599,-73.58045959,00/00/00,0:00:00,FORT EDWARD/GLENS FALLS
WP,D,FHD,31.13995934,-97.76431274,00/00/00,0:00:00,FORT HOOD
WP,D,FTL,26.11961365,-80.1701889,00/00/00,0:00:00,FORT LAUDERDALE
WP,D,FMD,40.62339401,-91.33335876,00/00/00,0:00:00,FORT MADISON
WP,D,FMG,40.24732971,-103.8026505,00/00/00,0:00:00,FORT MORGAN
WP,D,FTM,26.68235016,-81.88490295,00/00/00,0:00:00,FORT MYERS
WP,D,FWA,41.07608032,-85.13870239,00/00/00,0:00:00,FORT WAYNE
WP,D,FTW,32.74937439,-97.3238678,00/00/00,0:00:00,FORT WORTH
WP,D,FTA,40.59749603,-124.1518936,00/00/00,0:00:00,FORTUNA
WP,D,FOS,41.15253448,-83.41426849,00/00/00,0:00:00,FOSTORIA
WP,D,FOX,41.45766068,-71.97193909,00/00/00,0:00:00,FOXWOOD CASINO
WP,D,WIP,39.94869614,-105.8173676,00/00/00,0:00:00,FRAISER-WINTER PARK
WP,D,FRA,42.27666855,-71.41786194,00/00/00,0:00:00,FRAMINGHAM
WP,D,FRS,38.76501846,-77.17054749,00/00/00,0:00:00,FRANCONIA/SPRINGFIELD
WP,D,FDR,39.41179276,-77.41106415,00/00/00,0:00:00,FREDERICK
WP,D,FBG,38.29855728,-77.45693207,00/00/00,0:00:00,FREDERICKSBURG
WP,D,FDN,42.44512558,-79.34017944,00/00/00,0:00:00,FREDONIA
WP,D,FRT,37.53993225,-121.9224396,00/00/00,0:00:00,FREEMONT-MISSION SAN JOSE
WP,D,FMT,37.55819702,-122.0063782,00/00/00,0:00:00,FREMONT
WP,D,FNO,36.73862839,-119.7822495,00/00/00,0:00:00,FRESNO
WP,D,FSC,39.5871048,-106.096283,00/00/00,0:00:00,FRISCO
WP,D,FUL,33.86894608,-117.9228363,00/00/00,0:00:00,FULLERTON
WP,D,FTN,36.52252197,-88.88800812,00/00/00,0:00:00,FULTON
WP,D,GNF,29.65107918,-82.32369232,00/00/00,0:00:00,GAINESVILLE
WP,D,GNS,34.28371811,-83.82668304,00/00/00,0:00:00,GAINESVILLE
WP,D,GLE,33.62442398,-97.14026642,00/00/00,0:00:00,GAINESVILLE
WP,D,GBA,40.94961929,-90.37102509,00/00/00,0:00:00,GALESBURG (EX-ATSF)
WP,D,GBB,40.94404984,-90.36410522,00/00/00,0:00:00,GALESBURG (EX-BN)
WP,D,GLP,35.52924728,-108.7396774,00/00/00,0:00:00,GALLUP
WP,D,GLS,29.29120827,-94.78607178,00/00/00,0:00:00,GALVESTON
WP,D,GBV,40.10106277,-123.7938995,00/00/00,0:00:00,GARBERVILLE
WP,D,GCK,37.96472549,-100.8727951,00/00/00,0:00:00,GARDEN CITY
WP,D,GBC,49.99924469,-123.1422195,00/00/00,0:00:00,GARIBALDI HIGHLANDS
WP,D,GIN,41.35323715,-85.13601685,00/00/00,0:00:00,GARRETT
WP,D,GAS,35.26835632,-81.16397858,00/00/00,0:00:00,GASTONIA
WP,D,GEO,43.65727997,-79.92368317,00/00/00,0:00:00,GEORGETOWN
WP,D,GLM,40.76207733,-87.99476624,00/00/00,0:00:00,GILMAN
WP,D,GLY,37.00598145,-121.5675049,00/00/00,0:00:00,GILROY
WP,D,GGW,48.19451523,-106.6348114,00/00/00,0:00:00,GLASGOW
WP,D,GCO,42.72455978,-81.71585846,00/00/00,0:00:00,GLENCOE
WP,D,GDL,34.12363815,-118.2579575,00/00/00,0:00:00,GLENDALE
WP,D,GLN,42.07419586,-87.80534363,00/00/00,0:00:00,GLENVIEW
WP,D,GSC,39.54811859,-107.3226776,00/00/00,0:00:00,GLENWOOD SPRINGS
WP,D,GBO,35.38654709,-77.99396515,00/00/00,0:00:00,GOLDSBORO
WP,D,GTA,34.43755722,-119.8411713,00/00/00,0:00:00,GOLETA
WP,D,GRA,40.08391571,-105.9348373,00/00/00,0:00:00,GRANBY
WP,D,GCN,36.05671692,-112.1349411,00/00/00,0:00:00,GRAND CANYON NATIONAL PAR
WP,D,GFK,47.91885376,-97.11043549,00/00/00,0:00:00,GRAND FORKS
WP,D,GJT,39.06481934,-108.5699234,00/00/00,0:00:00,GRAND JUNCTION
WP,D,GRR,42.95637131,-85.67899323,00/00/00,0:00:00,GRAND RAPIDS
WP,D,GVI,45.92650604,-116.1289368,00/00/00,0:00:00,GRANGEVILLE
WP,D,GTP,42.43545914,-123.2963333,00/00/00,0:00:00,GRANTS PASS
WP,D,GRS,39.21938324,-121.0579529,00/00/00,0:00:00,GRASS VALLEY
WP,D,GRE,40.42394257,-104.6883926,00/00/00,0:00:00,GREELEY
WP,D,GBY,44.51483154,-88.0050354,00/00/00,0:00:00,GREEN BAY
WP,D,GRI,38.99244308,-110.1645966,00/00/00,0:00:00,GREEN RIVER
WP,D,GNR,41.52702713,-109.4653015,00/00/00,0:00:00,GREEN RIVER
WP,D,GFV,42.30490112,-83.24184418,00/00/00,0:00:00,GREENFIELD VILLAGE
WP,D,GRO,36.061203,-79.83135223,00/00/00,0:00:00,GREENSBORO
WP,D,GNB,40.30485153,-79.54727936,00/00/00,0:00:00,GREENSBURG
WP,D,GVA,31.82530212,-86.63053894,00/00/00,0:00:00,GREENVILLE
WP,D,GRV,34.85655975,-82.41418457,00/00/00,0:00:00,GREENVILLE
WP,D,GWD,33.51773834,-90.17608643,00/00/00,0:00:00,GREENWOOD
WP,D,GDA,33.78321457,-89.79808807,00/00/00,0:00:00,GRENADA
WP,D,GMS,43.18756485,-79.55370331,00/00/00,0:00:00,GRIMBSY
WP,D,GVB,35.1220665,-120.6281052,00/00/00,0:00:00,GROVER BEACH
WP,D,GUA,34.96260452,-120.5729446,00/00/00,0:00:00,GUADALUPE/SANTA MARIA
WP,D,GUE,43.55136871,-80.25400543,00/00/00,0:00:00,GUELPH
WP,D,GUF,30.36860847,-89.09497833,00/00/00,0:00:00,GULFPORT
WP,D,HAG,39.56830978,-77.73008728,00/00/00,0:00:00,HAGERSTOWN
WP,D,HMN,39.39457321,-84.55991364,00/00/00,0:00:00,HAMILTON
WP,D,HAM,34.8830719,-79.69845581,00/00/00,0:00:00,HAMLET
