DEPARTURES_PERFORMED_sum,SEATS_sum,PASSENGERS_sum,occupancy_total,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,occupancy_med,occupancy_mean,DISTANCE_mean,RAMP_TO_RAMP_mean,AIR_TIME_mean
49.0,7654.0,6963.0,0.90972040763,BLI,Bellingham International Airport,Bellingham,WA,48.79280090332031,-122.53800201416016,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,0.907358894975,0.89653098183,764.0,1476.0,1305.0
209.0,17723.0,13933.0,0.786153585736,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.844234079174,0.806486220611,674.0,1605.47058824,1292.17647059
173.0,24673.0,19905.0,0.80675232035,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,0.786048801838,0.796198783642,512.0,2773.5,2326.5
1.0,143.0,59.0,0.412587412587,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,0.412587412587,0.412587412587,660.0,113.0,101.0
91.0,6370.0,5594.0,0.878178963893,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.869523809524,0.878294930876,749.0,4022.0,3472.33333333
360.0,22818.0,18589.0,0.814663861863,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.849145658263,0.812066032765,522.0,4894.375,3925.5
93.0,7062.0,5917.0,0.837864627584,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,0.820458404075,0.755821004123,523.0,2036.4,1662.4
169.0,18070.0,14890.0,0.82401770891,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,0.849320882852,0.845921409283,437.0,2093.85714286,1726.71428571
3.0,450.0,394.0,0.875555555556,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,0.875555555556,0.875555555556,672.0,328.0,243.0
3.0,31.0,15.0,0.483870967742,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,APC,Napa County Airport,Napa,CA,38.2132,-122.280998,0.375,0.448076923077,353.0,65.3333333333,54.0
1.0,14.0,2.0,0.142857142857,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,0.142857142857,0.142857142857,725.0,116.0,108.0
1.0,13.0,1.0,0.0769230769231,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,0.0769230769231,0.0769230769231,94.0,36.0,24.0
1.0,7.0,3.0,0.428571428571,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,CLD,Mc Clellan-Palomar Airport,Carlsbad,CA,33.12829971,-117.2799988,0.428571428571,0.428571428571,97.0,41.0,31.0
