orig_code,orig_name,orig_city,OriginState,orig_lat,orig_lon,dest_code,dest_name,dest_city,DestState,dest_lat,dest_lon,AirlineDelay_med,AirlineDelay_10frac,AirlineDelay_20frac,AirlineDelay_30frac,AirlineDelay_mean,Distance_mean,AirTime_mean,ActualElapsedTime_mean,Flight_Count
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,21.5,0.16847826087,0.114130434783,0.0788043478261,46.55,677.0,97.1698630137,120.931506849,368
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,24.0,0.267441860465,0.191860465116,0.116279069767,40.3018867925,628.0,91.3081395349,106.081395349,172
ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,34.0,0.136111111111,0.116666666667,0.102777777778,58.3,250.0,48.2039660057,65.4362606232,360
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,17.0,0.0704225352113,0.056338028169,0.0281690140845,19.75,737.0,102.816901408,127.76056338,71
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,65.0,0.037037037037,0.034188034188,0.031339031339,60.75,425.0,71.8062678063,94.7464387464,351
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,44.5,0.136904761905,0.119047619048,0.10119047619,46.4615384615,238.0,45.4424242424,70.1090909091,168
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,37.5,0.147826086957,0.130434782609,0.121739130435,48.3,674.0,107.452173913,132.939130435,115
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,33.0,0.177142857143,0.137142857143,0.0971428571429,44.696969697,512.0,80.6878612717,96.1907514451,175
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.0,0.010989010989,0.010989010989,0.0,5.75,749.0,114.472527473,132.593406593,91
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,5.5,0.0853994490358,0.068870523416,0.0606060606061,36.6212121212,522.0,87.2333333333,108.763888889,363
