orig_code,orig_name,orig_city,OriginState,orig_lat,orig_lon,dest_code,dest_name,dest_city,DestState,dest_lat,dest_lon,AirlineDelay_med,AirlineDelay_10frac,AirlineDelay_20frac,AirlineDelay_30frac,AirlineDelay_mean,Distance_mean,AirTime_mean,ActualElapsedTime_mean,Flight_Count
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,29.5,0.187353629977,0.147540983607,0.114754098361,41.33,677.0,99.7099056604,122.676886792,427
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,21.0,0.0903614457831,0.0542168674699,0.0421686746988,43.8888888889,628.0,92.9156626506,107.222891566,166
ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,31.0,0.139473684211,0.126315789474,0.1,47.7466666667,250.0,47.1212121212,66.041322314,380
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,42.0,0.274336283186,0.265486725664,0.212389380531,89.5526315789,737.0,106.693877551,137.010204082,113
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,22.0,0.0431034482759,0.0387931034483,0.0344827586207,27.0,425.0,68.7068965517,91.8706896552,232
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,24.0,0.146892655367,0.118644067797,0.090395480226,34.525,238.0,46.0231213873,70.0173410405,177
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,30.0,0.156756756757,0.118918918919,0.0864864864865,58.71875,674.0,101.592391304,130.581521739,185
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,24.0,0.0909090909091,0.0641711229947,0.0534759358289,49.0952380952,512.0,79.1129032258,95.8387096774,187
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,88.5,0.108695652174,0.0978260869565,0.0869565217391,107.75,749.0,109.747252747,130.78021978,92
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,22.0,0.132231404959,0.115702479339,0.0853994490358,44.4578313253,522.0,86.2640449438,109.210674157,363
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,21.0,0.108140947752,0.0838396111786,0.0534629404617,26.9925373134,223.0,39.4188034188,58.0634920635,823
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,27.0,0.121270452358,0.0923965351299,0.0615976900866,38.711409396,325.0,52.8056640625,69.6845703125,1039
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,26.5,0.114341085271,0.0852713178295,0.0542635658915,39.5,369.0,59.3100775194,75.984496124,516
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,22.5,0.152073732719,0.126728110599,0.108294930876,35.5283018868,326.0,58.2482100239,84.1002386635,434
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,24.0,0.130360205832,0.0960548885077,0.0686106346484,38.6741573034,296.0,49.6076388889,64.0190972222,583
