orig_code,orig_name,orig_city,OriginState,orig_lat,orig_lon,dest_code,dest_name,dest_city,DestState,dest_lat,dest_lon,AirlineDelay_med,AirlineDelay_10frac,AirlineDelay_20frac,AirlineDelay_30frac,AirlineDelay_mean,Distance_mean,AirTime_mean,ActualElapsedTime_mean,Flight_Count
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,17.0,0.126436781609,0.0919540229885,0.0766283524904,31.0,677.0,95.4787644788,121.146718147,261
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,29.0,0.152542372881,0.124293785311,0.0790960451977,55.3548387097,628.0,88.0114285714,101.302857143,177
ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,32.0,0.155313351499,0.128065395095,0.108991825613,52.3287671233,250.0,47.8108882521,65.1203438395,367
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,9.0,0.0898876404494,0.0842696629213,0.061797752809,34.7272727273,737.0,103.028089888,130.685393258,178
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,35.0,0.0662824207493,0.0576368876081,0.0432276657061,82.9615384615,425.0,71.4825581395,94.5988372093,347
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,43.0,0.135294117647,0.111764705882,0.0882352941176,64.1111111111,238.0,43.7117647059,68.4705882353,170
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,37.5,0.0874316939891,0.0819672131148,0.0765027322404,65.4583333333,674.0,105.637362637,135.824175824,183
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,33.0,0.160220994475,0.127071823204,0.0883977900552,54.6333333333,512.0,80.374301676,95.9944134078,181
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,29.5,0.0978260869565,0.0760869565217,0.0652173913043,30.1666666667,749.0,116.47826087,133.565217391,92
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,7.0,0.118918918919,0.0918918918919,0.0702702702703,30.0430107527,522.0,87.6802168022,109.479674797,370
