PASSENGERS_sum,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,stopover_frac,no_stopover_frac,stopovers_mean,stopover_airports,stopover_airports_clean,dist_calc
72.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.0461538461538,0.953846153846,0.0461538461538,"set(['ABQ', 'LAX'])",['LAX'],670.549787066
5.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,1.0,0.0,1.0,set(['LAX']),['LAX'],743.108060803
3423.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.00433705080545,0.995662949195,0.00433705080545,"set(['ABQ', 'SAN'])",['SAN'],676.121908674
25.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,0.0,1.0,0.0,set(['ABQ']),[],663.182873232
7.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,0.0,1.0,0.0,set(['ABQ']),[],629.212274164
1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,1.0,0.0,1.0,set(['LAX']),['LAX'],570.250517504
1744.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.0313043478261,0.968695652174,0.0313043478261,"set(['ABQ', 'LAX'])",['LAX'],627.430281632
13.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,1.0,0.0,1.0,set(['LAX']),['LAX'],752.298989337
2.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,0.5,0.5,0.5,"set(['ABQ', 'LAX'])",['LAX'],792.741867877
8.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,0.375,0.625,0.5,"set(['ABQ', 'LAX', 'SAN', 'OAK'])","['LAX', 'SAN', 'OAK']",649.038661338
4.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,1.0,0.0,1.0,set(['SFO']),['SFO'],471.194586728
